id,cp,latitude,longitude
20166002,20166,4183500,877900
67120002,67120,4852926.6519707,749747.40576594
29880005,29880,4860691.645,-451105.60012668
8330002,08330,4973500,485000
82710003,82710,4396800,133900
35400007,35400,4865797,-197092
36140003,36140,4643700,182300
86000025,86000,4657584.3819083,37463.651274124
87160002,87160,4631300,141900
13500011,13500,4339900,504100
34360002,34360,4342240.95754,293681.726025
48000006,48000,4453500,350300
29690002,29690,4836800,-374900
18600003,18600,4683300,293800
95440001,95440,4902700,236900
30500003,30500,4425500,420300
30300008,30300,4381200,463000
6540002,06540,4396400,752400
78760004,78760,4880400,189600
56550002,56550,4767600,-319700
61000008,61000,4844542,9912
44220005,44220,4721363,-172222
10110001,10110,4810600,437700
67210004,67210,4845959,749509
7430002,07430,4526100,470300
84500006,84500,4425800,465000
38690007,38690,4538452.9100857,547234.76793111
59460002,59460,5030900,408900
33370006,33370,4484695.7,-49771.4
92170002,92170,4882274,229497
49123002,49123,4741024.334305,-93675.465665287
91180001,91180,4860300,224800
34690009,34690,4354817.5937549,379560.14943175
49150001,49150,4754522.912429,-11035.160149824
59400008,59400,5018500,322500
89380001,89380,4788082.6805196,352683.65139365
15290001,15290,4485500,223300
91380004,91380,4870100,231900
91370001,91370,4875300,227300
31350004,31350,4328550.2903295,65090.652068242
25500007,25500,4705750.8463211,661101.81743167
5000019,05000,4457000,610500
19200007,19200,4555638.9740201,231524.20027136
60120004,60120,4963500,228600
19200002,19200,4555700,230200
93160006,93160,4884500,252800
24260001,24260,4491400,92500
92130005,92130,4881800,227700
92140005,92140,4878000,223800
68200018,68200,4776200,732600
92260001,92260,4879300,229000
92210003,92210,4884200,220200
4120002,04120,4378000,634200
10340001,10340,4799651,436718
31150010,31150,4368754.8,140426.5747
17600004,17600,4566600,-94300
26800007,26800,4486400,486600
42155001,42155,4599200,398200
83600020,83600,4343808.989,671908.78
1300004,01300,4574895.3,570872.5
85430001,85430,4657120,-150929
45190003,45190,4776600,161200
69380004,69380,4585600,470400
83500007,83500,4308509,588123
52100009,52100,4862700,497300
35400006,35400,4862500,-199400
8130003,08130,4947872,457662
92410001,92410,4881900,216800
83600030,83600,4343108.3557022,675501.48054499
80100011,80100,5010786.7347902,183176.01957873
79000015,79000,4634810.4,-50996.8
41400006,41400,4734200,117800
15200004,15200,4522200,234000
84840003,84840,4431200,468600
84200008,84200,4408000,506700
93160004,93160,4884300,257700
93140003,93140,4890700,248900
93160005,93160,4885100,253500
31600011,31600,4346900,132900
76371001,76371,4991000,107700
77700006,77700,4888088.2982292,280395.16316237
71230002,71230,4664800,434000
50480001,50480,4938000,-129600
7100006,07100,4523500,467200
33370005,33370,4487100,-46900
21500002,21500,4762499,434660
13011019,13011,4329900,550000
94100006,94100,4879900,250000
93800003,93800,4896000,230400
94000004,94000,4879100,246200
64520001,64520,4348200,-114400
94170002,94170,4885100,249500
94190002,94190,4875400,245000
33730001,33730,4446000,-37500
94250001,94250,4881400,234800
77160002,77160,4854800,329200
13090018,13090,4355700,541800
94380002,94380,4876500,247800
94370003,94370,4877300,250000
94400003,94400,4878200,239500
16100004,16100,4568600,-33800
62218002,62218,5044800,286500
34110002,34110,4344900,375300
94600003,94600,4876800,240300
94700005,94700,4880200,243600
51350001,51350,4921600,405700
73300002,73300,4526900,636700
43290002,43290,4518135.9373512,431411.24833937
95100030,95100,4895763,227971
6640002,06640,4374357.2997273,714635.55621191
95130001,95130,4898600,223800
61250005,61250,4843333.5571932,6257.896013097
52540001,62540,5050300,250800
95220003,95220,4900600,217200
68200025,68200,4775843.1,733000
85700002,85700,4677500,-84600
95400003,95400,4898200,243100
12160002,12160,4427800,243000
85670002,85670,4688200,-169700
63122001,63122,4570500,302200
95600002,95600,4899400,228000
95570007,95570,4904100,234300
54470002,54470,4894700,587600
78885001,78180,4878600,204300
95800003,95800,4905299.3645837,204632.81651542
54500008,54500,4864965,614633
63140001,63140,4592300,306300
39120002,39120,4695800,540900
17201001,17200,4563200,-99200
27310008,27310,4935260.35,80636.98
74800001,74800,4606989,630528
31330005,31330,4376873.9365359,129598.4410997
3800006,03800,4608000,320100
65700002,65700,4344100,4200
84220003,84220,4386400,529100
72380001,72380,4814500,17000
83520001,83520,4343932.91651,665495.163594
62880001,62880,5045900,288500
1640003,01640,4603487.6030469,538945.26948339
9210001,09210,4328100,134800
19100014,19100,4515300,153600
40465002,40465,4378529,-93105
51300006,51300,4871260.45884,459023.351401
79370001,79370,4626800,-22400
66028001,66000,4266800,288400
68270003,68270,4780500,733700
78390003,78390,4880000,203800
21320007,21320,4730900,450100
71210010,71210,4675300,446800
33320003,33320,4488100,-65100
83600024,83600,4343000,675800
21150002,21150,4754000,446100
12100006,12100,4408100,304200
61230005,61230,4878900,29400
10360001,10360,4806063.95,453803.32
69500009,69500,4573900,490500
49330004,49330,4766421.5062238,-56045.990088045
81000003,81000,4393800,218300
33460003,33460,4499400,-69300
85150001,85150,4660700,-166400
29400003,29400,4851500,-405400
72110002,72110,4827700,46100
33550002,33550,4471373,-39435
47000009,47000,4421100,64700
91190012,91190,4870300,212800
79100009,79100,4699265.5218168,-23625.547504378
71400012,71400,4695600,429500
45320005,45320,4804100,306300
66510001,66150,4246292,263868
73310002,73310,4584642.2494013,583716.83401671
83150001,83150,4315396.6638366,574435.76756247
50500003,50500,4930200,-123100
66250001,66250,4277300,301100
57100007,57100,4935200,616000
30700003,30700,4400805,441802
57940001,57940,4932021.0046711,627828.54114496
29590001,29590,4829800,-417000
33370007,33370,4482500,-44400
8210001,08210,4961023,507788
44120005,44120,4717300,-147400
13420001,13420,4327900,561500
62219001,62219,5073500,227400
1750001,01750,4629900,488100
62221001,62221,5043100,286400
91430003,91430,4873500,222500
47800004,47800,4460000,35900
22120005,22120,4842200,-265600
4320001,04320,4394900,681000
10500002,10500,4839900,451800
13180001,13180,4339229.5526141,525694.21627957
82240001,82240,4417787,162304
28330003,28330,4819400,89900
34920001,34920,4365961.3186824,393616.96295143
26140003,26140,4527400,489700
5230008,05230,4455163.9379108,625559.0835903
11150001,11150,4324100,210100
33000014,33000,4485500,-59200
1630005,01630,4625355.0323499,602703.33349454
71700009,71700,4657300,490400
42590001,42590,4590880.9,417850
