id,cp,ville,adresse,latitude,longitude,enseigne,gazole,e10,sp98,tendance_gazole,tendance_e10,tendance_sp98,tendance_demain_gazole,confiance_demain_gazole,tendance_demain_e10,confiance_demain_e10,tendance_demain_sp98,confiance_demain_sp98
34420003,34420,Villeneuve-lès-Béziers,ZAE Pôle Méditerranée,43.322,3.291,Carrefour Market,1.799,,1.929,egal,,egal,stable,1,stable,1,stable,1
3210001,03210,SOUVIGNY,1 ROUTE DE COSNE,46.536,3.203,Intermarché,1.949,1.959,,egal,egal,,stable,1,stable,1,stable,1
77680004,77680,Roissy-en-Brie,Place Robert Schuman,48.79,2.642,Intermarché,1.841,1.867,1.980,egal,egal,egal,stable,1,stable,1,stable,1
14400004,14400,Bayeux,BOULEVARD MONTGOMERY,49.271,-0.694,Esso,1.863,1.896,2.015,hausse,hausse,egal,stable,1,stable,1,stable,1
39100006,39100,Dole,9 Rue Léon Bel,47.1092885,5.5077013,Intermarché,1.824,1.825,,egal,egal,,stable,1,stable,1,stable,1
78140010,78140,VELIZY VILLACOUBLAY,"27,RUE LOUIS BREGUET",48.781,2.183,Esso,1.909,1.959,2.139,hausse,hausse,hausse,stable,1,stable,1,stable,1
86310002,86310,Saint-Savin,8 Avenue du Général de Gaulle,46.567,0.86,Intermarché,1.859,1.879,,egal,egal,,stable,1,stable,1,stable,1
18200011,18200,FARGE ALLICHAMPS,Autoroute A71 - La GazonnièreSens Bourges – Clermond-Ferrand,46.752,2.416,Esso,2.092,2.085,2.185,hausse,baisse,baisse,stable,1,stable,1,stable,1
29450001,29450,Sizun,ZA du Pont Bleu,48.411,-4.087,Système U,1.849,,1.939,egal,,egal,stable,1,stable,1,stable,1
19190002,19190,LE PESCHER,RD15 LE BOURG,45.071202,1.737681,Total,,,,,,,stable,1,stable,1,stable,1
50260003,50260,Bricquebec,240 Rue Bitouzé d'Auxmesnil,49.468,-1.64,Intermarché,1.840,1.870,1.950,egal,egal,egal,stable,1,stable,1,stable,1
64330001,64330,GARLIN,Avenue Georges Phesans,43.557,-0.284,Intermarché,1.856,1.889,1.989,egal,egal,egal,stable,1,stable,1,stable,1
